Player,Team,Player & Team,season17_18
Ivan Rabb,MEM,Ivan Rabb MEM,950000
Ike Anigbogu,IND,Ike Anigbogu IND,950000
Gerald Green,HOU,Gerald Green HOU,947248
Jason Thompson,GSW,Jason Thompson GSW,945126
Martell Webster,WAS,Martell Webster WAS,830000
Frank Jackson,NOP,Frank Jackson NOP,815615
Jordan Bell,GSW,Jordan Bell GSW,815615
Dakari Johnson,OKC,Dakari Johnson OKC,815615
Sterling Brown,MIL,Sterling Brown MIL,815615
Dillon Brooks,MEM,Dillon Brooks MEM,815615
Jawun Evans,LAC,Jawun Evans LAC,815615
Sindarius Thornwell,LAC,Sindarius Thornwell LAC,815615
Dwayne Bacon,CHO,Dwayne Bacon CHO,815615
Tyler Dorsey,ATL,Tyler Dorsey ATL,815615
Davon Reed,PHO,Davon Reed PHO,815615
Royce O'Neale,UTA,Royce O'Neale UTA,815615
Alfonzo McKinnie,TOR,Alfonzo McKinnie TOR,815615
Brandon Paul,SAS,Brandon Paul SAS,815615
Khem Birch,ORL,Khem Birch ORL,815615
Thomas Bryant,LAL,Thomas Bryant LAL,815615
Zhou Qi,HOU,Zhou Qi HOU,815615
Maxi Kleber,DAL,Maxi Kleber DAL,815615
Daniel Theis,BOS,Daniel Theis BOS,815615
Sean Kilpatrick,MIL,Sean Kilpatrick MIL,789725
Trey Burke,NYK,Trey Burke NYK,784160
Alex Poythress,IND,Alex Poythress IND,778668
Marco Belinelli,PHI,Marco Belinelli PHI,776217
Joe Johnson,HOU,Joe Johnson HOU,749905
Dwight Buycks,DET,Dwight Buycks DET,748160
Tyler Cavanaugh,ATL,Tyler Cavanaugh ATL,679919
Carlos Delfino,LAC,Carlos Delfino LAC,650000
Caron Butler,SAC,Caron Butler SAC,517220
Jordan Farmar,LAC,Jordan Farmar LAC,510921
Ersan Ilyasova,PHI,Ersan Ilyasova PHI,502328
Leandro Barbosa,PHO,Leandro Barbosa PHO,500000
Tibor Pleiss,PHI,Tibor Pleiss PHI,500000
Michael Gbinije,DET,Michael Gbinije DET,500000
Aaron Gray,DET,Aaron Gray DET,452059
